Latitude,Longitude
39.7684,-86.158
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2020,1,1,0,30,0,0,162.85,-1.5
2020,1,1,1,30,0,0,161.02,-1.9
2020,1,1,2,30,0,0,152.67000000000002,-2.6
2020,1,1,3,30,0,0,141.97,-3.1
2020,1,1,4,30,0,0,130.57,-3.4000000000000004
2020,1,1,5,30,0,0,119.07,-3.4000000000000004
2020,1,1,6,30,0,0,107.77,-3.3000000000000003
2020,1,1,7,30,0,0,96.94,-2.8000000000000003
2020,1,1,8,30,45,391,86.64,-1.5
2020,1,1,9,30,195,728,77.83,0.8
2020,1,1,10,30,338,857,70.5,3.2
2020,1,1,11,30,439,915,65.33,5.0
2020,1,1,12,30,487,935,62.89,6.1000000000000005
2020,1,1,13,30,475,927,63.51,6.800000000000001
2020,1,1,14,30,405,892,67.1,6.9
2020,1,1,15,30,284,808,73.21000000000001,6.0
2020,1,1,16,30,132,619,81.22,3.7
2020,1,1,17,30,6,73,90.17,2.2
2020,1,1,18,30,0,0,101.19,2.1
2020,1,1,19,30,0,0,112.24,1.7000000000000002
2020,1,1,20,30,0,0,123.65,1.5
2020,1,1,21,30,0,0,135.15,1.3
2020,1,1,22,30,0,0,146.36,1.3
2020,1,1,23,30,0,0,156.42000000000002,1.3
2020,1,2,0,30,0,0,162.74,1.3
2020,1,2,1,30,0,0,160.99,1.2000000000000002
2020,1,2,2,30,0,0,152.69,1.2000000000000002
2020,1,2,3,30,0,0,142.01,1.3
2020,1,2,4,30,0,0,130.62,1.4
2020,1,2,5,30,0,0,119.11,1.8
2020,1,2,6,30,0,0,107.81,2.4000000000000004
2020,1,2,7,30,0,0,96.97,3.4000000000000004
2020,1,2,8,30,22,55,86.66,4.7
2020,1,2,9,30,172,544,77.83,6.2
2020,1,2,10,30,274,542,70.48,7.4
2020,1,2,11,30,336,477,65.28,7.9
2020,1,2,12,30,454,813,62.81,7.9
2020,1,2,13,30,194,44,63.41,7.800000000000001
2020,1,2,14,30,157,38,66.98,7.7
2020,1,2,15,30,52,3,73.08,7.4
2020,1,2,16,30,23,0,81.09,7.2
2020,1,2,17,30,1,0,90.07000000000001,7.2
2020,1,2,18,30,0,0,101.05,7.300000000000001
2020,1,2,19,30,0,0,112.1,7.5
2020,1,2,20,30,0,0,123.51,7.4
2020,1,2,21,30,0,0,135.01,7.2
2020,1,2,22,30,0,0,146.22,7.5
2020,1,2,23,30,0,0,156.28,7.800000000000001
2020,1,3,0,30,0,0,162.63,7.7
2020,1,3,1,30,0,0,160.95000000000002,7.4
2020,1,3,2,30,0,0,152.71,7.2
2020,1,3,3,30,0,0,142.04,6.9
2020,1,3,4,30,0,0,130.65,6.7
2020,1,3,5,30,0,0,119.15,6.4
2020,1,3,6,30,0,0,107.84,6.1000000000000005
2020,1,3,7,30,0,0,96.99,6.1000000000000005
2020,1,3,8,30,7,0,86.67,6.6000000000000005
2020,1,3,9,30,26,0,77.82000000000001,7.300000000000001
2020,1,3,10,30,50,0,70.45,7.9
2020,1,3,11,30,77,0,65.22,8.700000000000001
2020,1,3,12,30,128,2,62.73,9.2
2020,1,3,13,30,88,1,63.3,9.3
2020,1,3,14,30,32,0,66.85,9.0
2020,1,3,15,30,28,0,72.94,8.3
2020,1,3,16,30,18,0,80.95,7.2
2020,1,3,17,30,1,0,89.94,6.1000000000000005
2020,1,3,18,30,0,0,100.91,5.7
2020,1,3,19,30,0,0,111.96,4.9
2020,1,3,20,30,0,0,123.37,4.5
2020,1,3,21,30,0,0,134.87,4.2
2020,1,3,22,30,0,0,146.08,3.9
2020,1,3,23,30,0,0,156.14,3.5
2020,1,4,0,30,0,0,162.52,3.2
2020,1,4,1,30,0,0,160.91,2.6
2020,1,4,2,30,0,0,152.71,1.8
2020,1,4,3,30,0,0,142.07,1.2000000000000002
2020,1,4,4,30,0,0,130.69,0.8
2020,1,4,5,30,0,0,119.18,0.5
2020,1,4,6,30,0,0,107.87,0.1
2020,1,4,7,30,0,0,97.01,-0.1
2020,1,4,8,30,7,0,86.66,0.3
2020,1,4,9,30,78,175,77.8,1.1
2020,1,4,10,30,20,0,70.4,1.7000000000000002
2020,1,4,11,30,34,0,65.15,1.9
2020,1,4,12,30,67,0,62.63,2.2
2020,1,4,13,30,63,0,63.18,2.3000000000000003
2020,1,4,14,30,62,0,66.72,2.1
2020,1,4,15,30,51,0,72.8,1.7000000000000002
2020,1,4,16,30,15,0,80.8,0.9
2020,1,4,17,30,1,0,89.8,0.1
2020,1,4,18,30,0,0,100.76,-0.2
2020,1,4,19,30,0,0,111.81,-0.7000000000000001
2020,1,4,20,30,0,0,123.22,-1.3
2020,1,4,21,30,0,0,134.72,-2.2
2020,1,4,22,30,0,0,145.93,-3.1
2020,1,4,23,30,0,0,155.99,-3.7
2020,1,5,0,30,0,0,162.39,-4.0
2020,1,5,1,30,0,0,160.86,-4.3
2020,1,5,2,30,0,0,152.71,-4.5
2020,1,5,3,30,0,0,142.09,-4.6000000000000005
2020,1,5,4,30,0,0,130.72,-4.6000000000000005
2020,1,5,5,30,0,0,119.21,-4.5
2020,1,5,6,30,0,0,107.89,-4.4
2020,1,5,7,30,0,0,97.02,-4.0
2020,1,5,8,30,42,340,86.66,-2.6
2020,1,5,9,30,185,657,77.78,-0.2
2020,1,5,10,30,300,674,70.36,2.5
2020,1,5,11,30,430,873,65.08,4.7
2020,1,5,12,30,430,700,62.53,6.2
2020,1,5,13,30,414,670,63.06,7.0
2020,1,5,14,30,397,836,66.58,7.300000000000001
2020,1,5,15,30,282,753,72.65,6.9
2020,1,5,16,30,134,569,80.65,5.7
2020,1,5,17,30,9,87,89.69,4.7
2020,1,5,18,30,0,0,100.61,4.4
2020,1,5,19,30,0,0,111.66,3.8
2020,1,5,20,30,0,0,123.07,2.7
2020,1,5,21,30,0,0,134.57,1.2000000000000002
2020,1,5,22,30,0,0,145.78,0.2
2020,1,5,23,30,0,0,155.84,-0.5
2020,1,6,0,30,0,0,162.26,-1.2000000000000002
2020,1,6,1,30,0,0,160.8,-2.1
2020,1,6,2,30,0,0,152.71,-2.8000000000000003
2020,1,6,3,30,0,0,142.11,-3.3000000000000003
2020,1,6,4,30,0,0,130.74,-3.6
2020,1,6,5,30,0,0,119.23,-3.8
2020,1,6,6,30,0,0,107.9,-3.7
2020,1,6,7,30,0,0,97.02,-3.6
2020,1,6,8,30,41,293,86.65,-2.7
2020,1,6,9,30,199,731,77.75,-0.9
2020,1,6,10,30,342,841,70.3,1.1
2020,1,6,11,30,339,476,65.0,3.0
2020,1,6,12,30,352,379,62.42,4.6000000000000005
2020,1,6,13,30,368,466,62.93,5.6000000000000005
2020,1,6,14,30,370,691,66.44,5.7
2020,1,6,15,30,269,674,72.5,4.800000000000001
2020,1,6,16,30,147,661,80.5,3.1
2020,1,6,17,30,6,0,89.55,1.8
2020,1,6,18,30,0,0,100.46,1.5
2020,1,6,19,30,0,0,111.51,1.4
2020,1,6,20,30,0,0,122.92,1.4
2020,1,6,21,30,0,0,134.42000000000002,1.4
2020,1,6,22,30,0,0,145.63,1.2000000000000002
2020,1,6,23,30,0,0,155.68,1.0
2020,1,7,0,30,0,0,162.12,0.8
2020,1,7,1,30,0,0,160.73,0.6000000000000001
2020,1,7,2,30,0,0,152.69,0.4
2020,1,7,3,30,0,0,142.12,0.3
2020,1,7,4,30,0,0,130.75,0.1
2020,1,7,5,30,0,0,119.24,0.0
2020,1,7,6,30,0,0,107.91,0.0
2020,1,7,7,30,0,0,97.02,0.1
2020,1,7,8,30,27,89,86.63,0.7000000000000001
2020,1,7,9,30,197,704,77.71000000000001,2.2
2020,1,7,10,30,344,845,70.24,4.3
2020,1,7,11,30,445,895,64.91,5.9
2020,1,7,12,30,494,914,62.31,6.5
2020,1,7,13,30,482,907,62.79,6.7
2020,1,7,14,30,410,854,66.28,6.6000000000000005
2020,1,7,15,30,296,794,72.34,5.6000000000000005
2020,1,7,16,30,144,612,80.34,3.3000000000000003
2020,1,7,17,30,11,108,89.41,1.0
2020,1,7,18,30,0,0,100.31,0.4
2020,1,7,19,30,0,0,111.36,0.5
2020,1,7,20,30,0,0,122.77,0.4
2020,1,7,21,30,0,0,134.27,-0.1
2020,1,7,22,30,0,0,145.47,-0.4
2020,1,7,23,30,0,0,155.52,-0.4
2020,1,8,0,30,0,0,161.97,-0.6000000000000001
2020,1,8,1,30,0,0,160.65,-1.1
2020,1,8,2,30,0,0,152.67000000000002,-1.8
2020,1,8,3,30,0,0,142.12,-2.2
2020,1,8,4,30,0,0,130.77,-2.5
2020,1,8,5,30,0,0,119.25,-3.1
2020,1,8,6,30,0,0,107.92,-3.9
2020,1,8,7,30,0,0,97.01,-4.5
2020,1,8,8,30,47,440,86.60000000000001,-4.3
2020,1,8,9,30,203,769,77.67,-3.6
2020,1,8,10,30,349,886,70.17,-2.9000000000000004
2020,1,8,11,30,453,937,64.81,-2.1
2020,1,8,12,30,500,946,62.190000000000005,-1.4
2020,1,8,13,30,488,929,62.64,-0.9
2020,1,8,14,30,418,886,66.13,-0.8
2020,1,8,15,30,298,799,72.18,-1.1
2020,1,8,16,30,147,624,80.17,-2.5
2020,1,8,17,30,12,120,89.26,-3.8
2020,1,8,18,30,0,0,100.15,-4.1000000000000005
2020,1,8,19,30,0,0,111.2,-3.9
2020,1,8,20,30,0,0,122.61,-3.6
2020,1,8,21,30,0,0,134.11,-3.5
2020,1,8,22,30,0,0,145.31,-3.6
2020,1,8,23,30,0,0,155.35,-3.8
2020,1,9,0,30,0,0,161.82,-3.9
2020,1,9,1,30,0,0,160.56,-3.8
2020,1,9,2,30,0,0,152.64,-3.7
2020,1,9,3,30,0,0,142.12,-3.5
2020,1,9,4,30,0,0,130.77,-3.2
2020,1,9,5,30,0,0,119.26,-2.9000000000000004
2020,1,9,6,30,0,0,107.91,-2.7
2020,1,9,7,30,0,0,97.0,-2.3000000000000003
2020,1,9,8,30,34,207,86.58,-1.1
2020,1,9,9,30,182,612,77.62,1.0
2020,1,9,10,30,184,146,70.10000000000001,3.7
2020,1,9,11,30,251,154,64.71000000000001,6.1000000000000005
2020,1,9,12,30,239,82,62.06,7.800000000000001
2020,1,9,13,30,287,186,62.5,8.6
2020,1,9,14,30,208,94,65.96000000000001,8.700000000000001
2020,1,9,15,30,115,19,72.01,7.9
2020,1,9,16,30,54,12,80.01,6.9
2020,1,9,17,30,4,0,89.13,6.4
2020,1,9,18,30,0,0,99.98,6.300000000000001
2020,1,9,19,30,0,0,111.04,6.5
2020,1,9,20,30,0,0,122.46,6.7
2020,1,9,21,30,0,0,133.95,7.1000000000000005
2020,1,9,22,30,0,0,145.15,7.5
2020,1,9,23,30,0,0,155.18,7.800000000000001
2020,1,10,0,30,0,0,161.66,7.7
2020,1,10,1,30,0,0,160.47,7.5
2020,1,10,2,30,0,0,152.61,7.4
2020,1,10,3,30,0,0,142.11,7.5
2020,1,10,4,30,0,0,130.77,8.1
2020,1,10,5,30,0,0,119.26,8.8
2020,1,10,6,30,0,0,107.9,9.1
2020,1,10,7,30,0,0,96.98,9.3
2020,1,10,8,30,5,0,86.55,10.0
2020,1,10,9,30,26,0,77.56,11.1
2020,1,10,10,30,27,0,70.02,12.3
2020,1,10,11,30,10,0,64.6,13.4
2020,1,10,12,30,64,0,61.92,14.2
2020,1,10,13,30,45,0,62.34,14.4
2020,1,10,14,30,29,0,65.79,14.1
2020,1,10,15,30,9,0,71.84,13.4
2020,1,10,16,30,12,0,79.84,12.7
2020,1,10,17,30,3,0,88.99,12.6
2020,1,10,18,30,0,0,99.82,12.8
2020,1,10,19,30,0,0,110.88,12.7
2020,1,10,20,30,0,0,122.3,12.8
2020,1,10,21,30,0,0,133.79,12.9
2020,1,10,22,30,0,0,144.98,13.2
2020,1,10,23,30,0,0,155.01,13.6
2020,1,11,0,30,0,0,161.49,13.8
2020,1,11,1,30,0,0,160.37,13.8
2020,1,11,2,30,0,0,152.56,13.9
2020,1,11,3,30,0,0,142.09,14.3
2020,1,11,4,30,0,0,130.76,14.6
2020,1,11,5,30,0,0,119.25,14.8
2020,1,11,6,30,0,0,107.89,15.0
2020,1,11,7,30,0,0,96.95,15.2
2020,1,11,8,30,7,0,86.52,15.8
2020,1,11,9,30,16,0,77.5,16.2
2020,1,11,10,30,15,0,69.93,16.400000000000002
2020,1,11,11,30,10,0,64.49,16.3
2020,1,11,12,30,35,0,61.78,15.9
2020,1,11,13,30,39,0,62.18,15.3
2020,1,11,14,30,20,0,65.62,14.0
2020,1,11,15,30,13,0,71.66,11.4
2020,1,11,16,30,15,0,79.66,9.1
2020,1,11,17,30,3,0,88.84,7.5
2020,1,11,18,30,0,0,99.65,6.7
2020,1,11,19,30,0,0,110.71,4.0
2020,1,11,20,30,0,0,122.13,2.6
2020,1,11,21,30,0,0,133.63,1.8
2020,1,11,22,30,0,0,144.81,1.4
2020,1,11,23,30,0,0,154.83,1.0
2020,1,12,0,30,0,0,161.32,0.7000000000000001
2020,1,12,1,30,0,0,160.26,0.3
2020,1,12,2,30,0,0,152.51,-0.1
2020,1,12,3,30,0,0,142.07,-0.7000000000000001
2020,1,12,4,30,0,0,130.75,-1.4
2020,1,12,5,30,0,0,119.23,-2.0
2020,1,12,6,30,0,0,107.87,-2.5
2020,1,12,7,30,0,0,96.92,-2.4000000000000004
2020,1,12,8,30,43,232,86.46000000000001,-1.1
2020,1,12,9,30,170,498,77.43,0.9
2020,1,12,10,30,56,0,69.83,2.3000000000000003
2020,1,12,11,30,189,67,64.36,3.2
2020,1,12,12,30,172,19,61.620000000000005,3.7
2020,1,12,13,30,218,162,62.0,3.9
2020,1,12,14,30,85,1,65.44,3.9
2020,1,12,15,30,63,0,71.47,3.7
2020,1,12,16,30,63,4,79.48,3.0
2020,1,12,17,30,10,12,88.66,2.3000000000000003
2020,1,12,18,30,0,0,99.48,2.0
2020,1,12,19,30,0,0,110.55,1.5
2020,1,12,20,30,0,0,121.97,1.3
2020,1,12,21,30,0,0,133.46,1.4
2020,1,12,22,30,0,0,144.64,1.5
2020,1,12,23,30,0,0,154.65,1.5
2020,1,13,0,30,0,0,161.14,1.1
2020,1,13,1,30,0,0,160.14,0.9
2020,1,13,2,30,0,0,152.46,1.2000000000000002
2020,1,13,3,30,0,0,142.04,1.3
2020,1,13,4,30,0,0,130.73,1.0
2020,1,13,5,30,0,0,119.21,0.6000000000000001
2020,1,13,6,30,0,0,107.84,0.1
2020,1,13,7,30,0,0,96.88,0.1
2020,1,13,8,30,45,290,86.4,1.1
2020,1,13,9,30,177,534,77.35000000000001,2.7
2020,1,13,10,30,176,144,69.73,3.8
2020,1,13,11,30,93,5,64.23,4.800000000000001
2020,1,13,12,30,163,16,61.47,5.7
2020,1,13,13,30,180,28,61.83,6.2
2020,1,13,14,30,257,206,65.25,6.300000000000001
2020,1,13,15,30,249,478,71.28,5.800000000000001
2020,1,13,16,30,98,196,79.3,4.5
2020,1,13,17,30,12,56,88.5,2.9000000000000004
2020,1,13,18,30,0,0,99.3,2.1
2020,1,13,19,30,0,0,110.38,1.1
2020,1,13,20,30,0,0,121.8,1.1
2020,1,13,21,30,0,0,133.29,0.7000000000000001
2020,1,13,22,30,0,0,144.47,0.3
2020,1,13,23,30,0,0,154.46,-0.1
2020,1,14,0,30,0,0,160.96,-0.4
2020,1,14,1,30,0,0,160.01,-0.3
2020,1,14,2,30,0,0,152.39,0.2
2020,1,14,3,30,0,0,142.0,0.6000000000000001
2020,1,14,4,30,0,0,130.7,1.1
2020,1,14,5,30,0,0,119.19,1.5
2020,1,14,6,30,0,0,107.81,1.8
2020,1,14,7,30,0,0,96.84,1.9
2020,1,14,8,30,44,244,86.35000000000001,2.3000000000000003
2020,1,14,9,30,169,510,77.27,2.9000000000000004
2020,1,14,10,30,105,1,69.62,3.9
2020,1,14,11,30,107,0,64.09,5.1000000000000005
2020,1,14,12,30,101,0,61.3,6.300000000000001
2020,1,14,13,30,177,13,61.64,7.5
2020,1,14,14,30,178,41,65.06,8.1
2020,1,14,15,30,318,778,71.09,7.6
2020,1,14,16,30,164,598,79.11,5.4
2020,1,14,17,30,19,137,88.34,3.0
2020,1,14,18,30,0,0,99.13,2.4000000000000004
2020,1,14,19,30,0,0,110.2,2.0
2020,1,14,20,30,0,0,121.63,2.1
2020,1,14,21,30,0,0,133.12,2.3000000000000003
2020,1,14,22,30,0,0,144.29,2.2
2020,1,14,23,30,0,0,154.27,1.8
2020,1,15,0,30,0,0,160.76,1.2000000000000002
2020,1,15,1,30,0,0,159.87,0.7000000000000001
2020,1,15,2,30,0,0,152.32,0.9
2020,1,15,3,30,0,0,141.96,1.1
2020,1,15,4,30,0,0,130.67000000000002,1.0
2020,1,15,5,30,0,0,119.15,1.0
2020,1,15,6,30,0,0,107.77,1.1
2020,1,15,7,30,0,0,96.79,1.2000000000000002
2020,1,15,8,30,19,22,86.28,2.0
2020,1,15,9,30,39,0,77.18,3.6
2020,1,15,10,30,15,0,69.5,5.300000000000001
2020,1,15,11,30,38,0,63.940000000000005,6.6000000000000005
2020,1,15,12,30,40,0,61.13,7.800000000000001
2020,1,15,13,30,60,0,61.45,8.9
2020,1,15,14,30,25,0,64.86,9.6
2020,1,15,15,30,49,0,70.9,9.4
2020,1,15,16,30,63,130,78.92,8.5
2020,1,15,17,30,4,0,88.17,7.6
2020,1,15,18,30,0,0,98.95,7.2
2020,1,15,19,30,0,0,110.03,6.300000000000001
2020,1,15,20,30,0,0,121.46,5.5
2020,1,15,21,30,0,0,132.95,4.6000000000000005
2020,1,15,22,30,0,0,144.11,3.6
2020,1,15,23,30,0,0,154.08,2.3000000000000003
2020,1,16,0,30,0,0,160.57,1.0
2020,1,16,1,30,0,0,159.73,-0.3
2020,1,16,2,30,0,0,152.24,-1.4
2020,1,16,3,30,0,0,141.91,-2.4000000000000004
2020,1,16,4,30,0,0,130.63,-3.2
2020,1,16,5,30,0,0,119.12,-3.8
2020,1,16,6,30,0,0,107.72,-4.2
2020,1,16,7,30,0,0,96.73,-4.4
2020,1,16,8,30,52,412,86.2,-3.8
2020,1,16,9,30,129,274,77.08,-2.8000000000000003
2020,1,16,10,30,322,664,69.37,-1.8
2020,1,16,11,30,480,948,63.79,-0.8
2020,1,16,12,30,536,975,60.95,-0.1
2020,1,16,13,30,528,967,61.25,0.2
2020,1,16,14,30,462,940,64.65,0.1
2020,1,16,15,30,342,871,70.69,-0.6000000000000001
2020,1,16,16,30,183,719,78.72,-2.4000000000000004
2020,1,16,17,30,27,264,87.98,-4.1000000000000005
2020,1,16,18,30,0,0,98.76,-4.6000000000000005
2020,1,16,19,30,0,0,109.85,-5.1000000000000005
2020,1,16,20,30,0,0,121.28,-5.2
2020,1,16,21,30,0,0,132.78,-5.300000000000001
2020,1,16,22,30,0,0,143.93,-5.5
2020,1,16,23,30,0,0,153.88,-5.7
2020,1,17,0,30,0,0,160.36,-5.7
2020,1,17,1,30,0,0,159.58,-5.5
2020,1,17,2,30,0,0,152.15,-5.4
2020,1,17,3,30,0,0,141.85,-5.4
2020,1,17,4,30,0,0,130.59,-5.4
2020,1,17,5,30,0,0,119.07,-5.4
2020,1,17,6,30,0,0,107.67,-5.300000000000001
2020,1,17,7,30,0,0,96.66,-5.0
2020,1,17,8,30,24,7,86.12,-4.5
2020,1,17,9,30,84,36,76.97,-3.8
2020,1,17,10,30,128,14,69.24,-3.0
2020,1,17,11,30,136,3,63.63,-2.3000000000000003
2020,1,17,12,30,280,137,60.77,-1.8
2020,1,17,13,30,108,2,61.05,-1.5
2020,1,17,14,30,62,0,64.45,-1.2000000000000002
2020,1,17,15,30,43,0,70.48,-1.2000000000000002
2020,1,17,16,30,42,0,78.52,-1.2000000000000002
2020,1,17,17,30,7,0,87.81,-1.3
2020,1,17,18,30,0,0,98.58,-1.3
2020,1,17,19,30,0,0,109.67,-1.3
2020,1,17,20,30,0,0,121.11,-1.4
2020,1,17,21,30,0,0,132.6,-1.4
2020,1,17,22,30,0,0,143.74,-1.3
2020,1,17,23,30,0,0,153.68,-1.0
2020,1,18,0,30,0,0,160.15,-0.7000000000000001
2020,1,18,1,30,0,0,159.42000000000002,-0.4
2020,1,18,2,30,0,0,152.05,0.2
2020,1,18,3,30,0,0,141.79,0.8
2020,1,18,4,30,0,0,130.53,1.3
2020,1,18,5,30,0,0,119.02,2.2
2020,1,18,6,30,0,0,107.62,3.3000000000000003
2020,1,18,7,30,0,0,96.59,4.0
2020,1,18,8,30,6,0,86.05,4.3
2020,1,18,9,30,51,10,76.87,5.0
2020,1,18,10,30,41,0,69.11,5.9
2020,1,18,11,30,53,5,63.47,6.5
2020,1,18,12,30,29,0,60.57,6.300000000000001
2020,1,18,13,30,133,25,60.84,5.300000000000001
2020,1,18,14,30,64,0,64.23,4.1000000000000005
2020,1,18,15,30,110,27,70.27,2.9000000000000004
2020,1,18,16,30,155,454,78.32000000000001,1.2000000000000002
2020,1,18,17,30,17,42,87.63,-0.8
2020,1,18,18,30,0,0,98.39,-1.8
2020,1,18,19,30,0,0,109.49,-4.5
2020,1,18,20,30,0,0,120.93,-5.7
2020,1,18,21,30,0,0,132.42000000000002,-6.800000000000001
2020,1,18,22,30,0,0,143.55,-7.6
2020,1,18,23,30,0,0,153.47,-8.3
2020,1,19,0,30,0,0,159.94,-8.8
2020,1,19,1,30,0,0,159.25,-9.3
2020,1,19,2,30,0,0,151.95000000000002,-9.9
2020,1,19,3,30,0,0,141.72,-10.6
2020,1,19,4,30,0,0,130.48,-11.3
2020,1,19,5,30,0,0,118.96,-11.9
2020,1,19,6,30,0,0,107.55,-12.3
2020,1,19,7,30,0,0,96.52,-12.6
2020,1,19,8,30,29,42,85.94,-12.7
2020,1,19,9,30,98,73,76.75,-12.5
2020,1,19,10,30,155,64,68.96000000000001,-12.1
2020,1,19,11,30,205,60,63.29,-11.6
2020,1,19,12,30,276,113,60.370000000000005,-11.1
2020,1,19,13,30,188,20,60.63,-10.7
2020,1,19,14,30,191,45,64.01,-10.4
2020,1,19,15,30,116,16,70.06,-10.3
2020,1,19,16,30,71,5,78.11,-10.4
2020,1,19,17,30,8,0,87.43,-10.5
2020,1,19,18,30,0,0,98.2,-10.5
2020,1,19,19,30,0,0,109.31,-10.5
2020,1,19,20,30,0,0,120.75,-10.5
2020,1,19,21,30,0,0,132.24,-10.5
2020,1,19,22,30,0,0,143.36,-10.4
2020,1,19,23,30,0,0,153.26,-10.2
2020,1,20,0,30,0,0,159.71,-10.1
2020,1,20,1,30,0,0,159.08,-10.0
2020,1,20,2,30,0,0,151.84,-9.9
2020,1,20,3,30,0,0,141.64,-9.7
2020,1,20,4,30,0,0,130.41,-9.6
2020,1,20,5,30,0,0,118.9,-9.4
2020,1,20,6,30,0,0,107.48,-9.3
2020,1,20,7,30,0,0,96.44,-9.1
2020,1,20,8,30,52,311,85.85000000000001,-8.4
2020,1,20,9,30,211,660,76.62,-7.2
2020,1,20,10,30,363,802,68.81,-5.6000000000000005
2020,1,20,11,30,475,873,63.11,-4.0
2020,1,20,12,30,517,852,60.17,-2.9000000000000004
2020,1,20,13,30,471,706,60.41,-2.4000000000000004
2020,1,20,14,30,372,527,63.79,-2.3000000000000003
2020,1,20,15,30,241,339,69.84,-2.5
2020,1,20,16,30,126,251,77.9,-3.1
2020,1,20,17,30,17,20,87.25,-3.9
2020,1,20,18,30,0,0,98.01,-4.2
2020,1,20,19,30,0,0,109.13,-4.7
2020,1,20,20,30,0,0,120.57,-5.1000000000000005
2020,1,20,21,30,0,0,132.05,-5.4
2020,1,20,22,30,0,0,143.17000000000002,-5.6000000000000005
2020,1,20,23,30,0,0,153.05,-5.9
2020,1,21,0,30,0,0,159.49,-6.1000000000000005
2020,1,21,1,30,0,0,158.9,-6.2
2020,1,21,2,30,0,0,151.72,-6.300000000000001
2020,1,21,3,30,0,0,141.56,-6.4
2020,1,21,4,30,0,0,130.34,-6.5
2020,1,21,5,30,0,0,118.83,-6.6000000000000005
2020,1,21,6,30,0,0,107.41,-6.7
2020,1,21,7,30,0,0,96.35,-6.4
2020,1,21,8,30,10,0,85.75,-5.1000000000000005
2020,1,21,9,30,42,0,76.49,-3.2
2020,1,21,10,30,71,0,68.65,-2.0
2020,1,21,11,30,107,0,62.93,-1.2000000000000002
2020,1,21,12,30,118,0,59.96,-0.7000000000000001
2020,1,21,13,30,224,50,60.18,-0.3
2020,1,21,14,30,263,190,63.56,-0.3
2020,1,21,15,30,341,755,69.61,-0.6000000000000001
2020,1,21,16,30,191,624,77.69,-1.5
2020,1,21,17,30,36,238,87.06,-2.7
2020,1,21,18,30,0,0,97.82,-3.2
2020,1,21,19,30,0,0,108.94,-4.2
2020,1,21,20,30,0,0,120.39,-5.0
2020,1,21,21,30,0,0,131.87,-5.800000000000001
2020,1,21,22,30,0,0,142.97,-6.5
2020,1,21,23,30,0,0,152.83,-6.9
2020,1,22,0,30,0,0,159.26,-7.300000000000001
2020,1,22,1,30,0,0,158.70000000000002,-7.6
2020,1,22,2,30,0,0,151.59,-7.9
2020,1,22,3,30,0,0,141.46,-8.1
2020,1,22,4,30,0,0,130.26,-8.3
2020,1,22,5,30,0,0,118.76,-8.4
2020,1,22,6,30,0,0,107.33,-8.3
2020,1,22,7,30,0,0,96.25,-7.7
2020,1,22,8,30,31,51,85.64,-6.6000000000000005
2020,1,22,9,30,123,146,76.36,-5.2
2020,1,22,10,30,212,162,68.49,-3.6
2020,1,22,11,30,319,286,62.73,-1.9
2020,1,22,12,30,327,208,59.74,-0.5
2020,1,22,13,30,297,150,59.95,0.5
2020,1,22,14,30,263,151,63.32,0.9
2020,1,22,15,30,271,458,69.39,0.6000000000000001
2020,1,22,16,30,98,95,77.48,-0.1
2020,1,22,17,30,19,8,86.87,-0.6000000000000001
2020,1,22,18,30,0,0,97.63,-0.7000000000000001
2020,1,22,19,30,0,0,108.76,-0.8
2020,1,22,20,30,0,0,120.2,-0.8
2020,1,22,21,30,0,0,131.68,-0.8
2020,1,22,22,30,0,0,142.78,-0.8
2020,1,22,23,30,0,0,152.61,-0.8
2020,1,23,0,30,0,0,159.02,-0.9
2020,1,23,1,30,0,0,158.51,-0.9
2020,1,23,2,30,0,0,151.45000000000002,-1.0
2020,1,23,3,30,0,0,141.37,-1.0
2020,1,23,4,30,0,0,130.18,-1.0
2020,1,23,5,30,0,0,118.68,-1.0
2020,1,23,6,30,0,0,107.24,-0.9
2020,1,23,7,30,0,0,96.15,-0.7000000000000001
2020,1,23,8,30,16,0,85.53,0.0
2020,1,23,9,30,80,26,76.22,1.3
2020,1,23,10,30,212,184,68.32000000000001,2.8000000000000003
2020,1,23,11,30,224,73,62.53,4.3
2020,1,23,12,30,175,21,59.52,5.4
2020,1,23,13,30,82,0,59.71,5.800000000000001
2020,1,23,14,30,182,27,63.08,5.5
2020,1,23,15,30,134,34,69.16,4.3
2020,1,23,16,30,40,0,77.26,3.0
2020,1,23,17,30,10,0,86.67,2.4000000000000004
2020,1,23,18,30,0,0,97.43,2.4000000000000004
2020,1,23,19,30,0,0,108.57,2.4000000000000004
2020,1,23,20,30,0,0,120.02,2.3000000000000003
2020,1,23,21,30,0,0,131.5,2.1
2020,1,23,22,30,0,0,142.58,1.9
2020,1,23,23,30,0,0,152.39,1.8
2020,1,24,0,30,0,0,158.78,1.9
2020,1,24,1,30,0,0,158.3,2.1
2020,1,24,2,30,0,0,151.31,2.1
2020,1,24,3,30,0,0,141.26,2.2
2020,1,24,4,30,0,0,130.09,2.3000000000000003
2020,1,24,5,30,0,0,118.59,2.1
2020,1,24,6,30,0,0,107.14,2.0
2020,1,24,7,30,0,0,96.05,2.2
2020,1,24,8,30,10,0,85.41,2.6
2020,1,24,9,30,38,0,76.07000000000001,3.1
2020,1,24,10,30,35,0,68.15,3.4000000000000004
