State,Latitude,Longitude,Max Temp,Critical Hours
Alabama,33.5207,-86.8025,72,146
Alaska,58.3019,-134.4197,53,0
Arizona,33.4484,-112.074,77,784
Arkansas,34.7465,-92.2896,72,209
California,34.0522,-118.2437,69,20
Colorado,39.7392,-104.9903,74,48
Connecticut,41.1792,-73.1894,65,2
Delaware,39.7391,-75.5398,70,58
Florida,30.3322,-81.6557,70,45
Georgia,33.749,-84.388,69,68
Hawaii,21.3069,-157.8583,62,0
Idaho,43.615,-116.2023,71,57
Illinois,41.8781,-87.6298,62,0
Indiana,39.7684,-86.158,65,2
Iowa,41.5868,-93.625,63,0
Kansas,37.6872,-97.3301,73,67
Kentucky,38.2527,-85.7585,70,60
Louisiana,29.9509,-90.0758,66,9
Maine,43.6591,-70.2568,61,0
Maryland,39.2904,-76.6122,71,65
Massachusetts,42.3601,-71.0589,63,0
Michigan,42.3314,-83.0458,63,0
Minnesota,44.9778,-93.265,63,0
Mississippi,32.2988,-90.1848,73,204
Missouri,39.0997,-94.5786,69,6
Montana,45.7597,-108.5531,68,27
Nebraska,41.2565,-95.9345,64,0
Nevada,36.1716,-115.1391,79,687
New Hampshire,42.9956,-71.465,63,0
New Jersey,40.7357,-74.1724,67,19
New Mexico,35.0844,-106.6504,73,96
New York,40.7128,-73.8292,65,4
North Carolina,35.2271,-80.8431,71,86
North Dakota,46.8772,-96.7898,65,2
Ohio,39.9612,-82.9988,65,7
Oklahoma,35.4676,-97.5164,73,132
Oregon,45.5152,-122.6784,66,4
Pennsylvania,39.9526,-75.1652,68,52
Rhode Island,41.8236,-71.4222,65,1
South Carolina,32.7833,-79.932,67,16
South Dakota,43.546,-96.7313,63,0
Tennessee,35.1495,-90.049,71,158
Texas,29.7604,-95.3698,71,110
Utah,40.7608,-111.891,71,69
Vermont,44.4759,-73.2121,63,0
Virginia,36.8516,-75.9792,68,14
Washington,47.6062,-122.3321,60,0
West Virginia,38.3498,-81.6326,69,32
Wisconsin,43.0389,-87.9065,62,0
Wyoming,41.14,-104.8202,71,18
