State,Latitude,Longitude,Max Temp,Critical Hours
Alabama,33.5207,-86.8025,70,77
Alaska,58.3019,-134.4197,52,0
Arizona,33.4484,-112.074,75,635
Arkansas,34.7465,-92.2896,71,129
California,34.0522,-118.2437,68,12
Colorado,39.7392,-104.9903,72,31
Connecticut,41.1792,-73.1894,64,0
Delaware,39.7391,-75.5398,68,28
Florida,30.3322,-81.6557,69,14
Georgia,33.749,-84.388,68,20
Hawaii,21.3069,-157.8583,60,0
Idaho,43.615,-116.2023,69,31
Illinois,41.8781,-87.6298,61,0
Indiana,39.7684,-86.158,64,0
Iowa,41.5868,-93.625,62,0
Kansas,37.6872,-97.3301,72,42
Kentucky,38.2527,-85.7585,68,27
Louisiana,29.9509,-90.0758,65,2
Maine,43.6591,-70.2568,60,0
Maryland,39.2904,-76.6122,70,33
Massachusetts,42.3601,-71.0589,62,0
Michigan,42.3314,-83.0458,62,0
Minnesota,44.9778,-93.265,62,0
Mississippi,32.2988,-90.1848,72,115
Missouri,39.0997,-94.5786,67,5
Montana,45.7597,-108.5531,67,13
Nebraska,41.2565,-95.9345,62,0
Nevada,36.1716,-115.1391,78,569
New Hampshire,42.9956,-71.465,62,0
New Jersey,40.7357,-74.1724,65,6
New Mexico,35.0844,-106.6504,72,51
New York,40.7128,-73.8292,64,0
North Carolina,35.2271,-80.8431,69,42
North Dakota,46.8772,-96.7898,64,0
Ohio,39.9612,-82.9988,64,0
Oklahoma,35.4676,-97.5164,72,73
Oregon,45.5152,-122.6784,64,0
Pennsylvania,39.9526,-75.1652,67,23
Rhode Island,41.8236,-71.4222,64,0
South Carolina,32.7833,-79.932,65,2
South Dakota,43.546,-96.7313,62,0
Tennessee,35.1495,-90.049,70,91
Texas,29.7604,-95.3698,70,47
Utah,40.7608,-111.891,70,37
Vermont,44.4759,-73.2121,62,0
Virginia,36.8516,-75.9792,66,6
Washington,47.6062,-122.3321,59,0
West Virginia,38.3498,-81.6326,68,11
Wisconsin,43.0389,-87.9065,60,0
Wyoming,41.14,-104.8202,69,9
